has_synonyms,is_moderator_only,is_required,count,name,collectives
True,False,False,2455072,javascript,
True,False,False,2073586,python,
True,False,False,1878851,java,
True,False,False,1571792,c#,
True,False,False,1451665,php,
True,False,False,1393551,android,
True,False,False,1156612,html,
True,False,False,1031478,jquery,
True,False,False,783883,c++,
True,False,False,779485,css,
True,False,False,677491,ios,
True,False,False,655205,mysql,
True,False,False,650538,sql,
True,False,False,473865,r,
True,False,False,450595,node.js,
True,False,False,431384,reactjs,
True,False,False,404081,arrays,
False,False,False,390261,c,
True,False,False,371319,asp.net,
True,False,False,350421,json,
True,False,False,335364,ruby-on-rails,
True,False,False,329478,python-3.x,
True,False,False,326361,.net,
True,False,False,325534,sql-server,
True,False,False,322106,swift,
False,False,False,301395,django,
True,False,False,292628,objective-c,
True,False,False,288190,angular,
True,False,False,273123,excel,
False,False,False,268319,pandas,
True,False,False,262612,angularjs,
True,False,False,255005,regex,
False,False,False,226638,ruby,
False,False,False,221696,linux,
True,False,False,221579,iphone,
True,False,False,221172,ajax,
True,False,False,211376,xml,
True,False,False,205597,vba,
True,False,False,202584,typescript,
True,False,False,202486,spring,
False,False,False,201054,laravel,
True,False,False,199688,asp.net-mvc,
True,False,False,190872,database,
True,False,False,188135,wordpress,
True,False,False,180111,string,
True,False,False,169438,mongodb,
False,False,False,167314,wpf,
True,False,False,163388,postgresql,
True,False,False,161590,windows,
True,False,False,157375,xcode,
True,False,False,149979,bash,
True,False,False,148391,flutter,
False,False,False,146335,oracle,
True,False,False,145728,git,
True,False,False,145241,amazon-web-services,
True,False,False,138578,vb.net,
True,False,False,137095,multithreading,
True,False,False,136735,list,
True,False,False,135137,firebase,"[{'tags': ['firebase-admob', 'google-cloud-console', 'google-data-studio', 'google-cloud-dns', 'firebase-admin', 'stackdriver', 'google-cloud-sql', 'dialogflow-es-fulfillment', 'google-cloud-composer', 'google-cloud-speech', 'firebase-realtime-database', 'google-cloud-filestore', 'google-cloud-dataprep', 'google-cloud-marketplace', 'google-cloud-pubsub', 'google-cloud-firestore', 'firebase-assistant', 'cordova-plugin-firebasex', 'google-dataflow', 'google-cloud-armor', 'google-cloud-workstations', 'google-cloud-ai', 'google-cloud-deploy', 'google-cloud-dlp', 'google-cloud-tools', 'firebase-util', 'google-cloud-endpoints', 'firebase-performance', 'google-cloud-resource-manager', 'google-cloud-network-load-balancer', 'google-cloud-dataproc', 'google-cloud-tasks', 'google-cloud-shell-editor', 'recaptcha-enterprise', 'google-app-engine-golang', 'google-app-engine-go', 'google-cloud-iot', 'google-cloud-launcher', 'google-container-registry', 'firebase-dynamic-links', 'firebase-app-indexing', 'maven-jib', 'google-cloud-ml', 'firebase-predictions', 'google-cloud-build', 'google-cloud-kms', 'google-cloud-recommendation', 'google-cloud-vertex-ai', 'firebase-queue', 'google-cloud-dataflow', 'google-cloud-spanner-emulator', 'apigee-baas', 'firebase-cloud-messaging', 'google-container-optimized-os', 'google-cloud-bigtable', 'google-cloud-vpn', 'google-cloud-registry', 'google-cloud-source-repos', 'firebase-invites', 'firebaseui', 'apigee', 'google-cloud-robotics', 'dialogflow-cx', 'firebase-crash-reporting', 'google-cloud-instance-template', 'google-cloud-platform', 'google-cloud-router', 'google-container-os', 'firebase-ab-testing', 'redux-saga-firebase', 'google-app-engine-patch', 'google-app-engine-python', 'google-cloud-code', 'gcloud', 'google-cloud-proxy', 'google-cloud-node', 'firebasesimplelogin', 'google-cloud-print-privet', 'google-cloud-healthcare', 'google-bigquery', 'cloud-document-ai', 'google-cloud-intellij', 'google-cloud-iam', 'google-cloud-instances', 'google-cloud-asset-inventory', 'rest-firebase', 'google-cloud-ml-engine', 'google-cloud-url-maps', 'google-cloud-http-load-balancer', 'google-cloud-translate', 'google-cloud-vision', 'google-cloud-identity', 'google-cloud-repository', 'google-cloud-cdn', 'google-anthos', 'google-cloud-powershell', 'google-cloud-language', 'google-cloud-billing', 'google-cloud-visualstudio', 'google-cloud-automl', 'firebase-app-check', 'google-cloud-tpu', 'google-container-builder', 'google-cloud-sdk', 'google-cloud-spanner', 'react-redux-firebase', 'dialogflow-es', 'google-cloud-error-reporting', 'google-cloud-functions', 'firebase-mlkit', 'firebase-security', 'google-cloud-metrics', 'firebase-hosting', 'google-cloud-messaging', 'google-app-engine-deploy', 'google-cloud-data-fusion', 'google-app-engine-launch', 'firebase-storage', 'firebase-job-dispatcher', 'google-app-engine-php', 'google-cloud-nl', 'google-cloud-test-lab', 'google-cloud-transcoder', 'react-native-firebase', 'google-cloud-logging', 'google-cloud-endpoints-v2', 'google-cloud-data-transfer', 'google-cloud-datastore', 'firebase-extensions', 'firebase-notifications', 'firebase-database', 'firebase-tools', 'google-cloud-php-client', 'google-cloud-storage-r', 'google-cloud-python', 'firebase-cli', 'google-migrate-for-compute-engine', 'firebase-test-lab', 'firebase-app-distribution', 'google-cloud-print', 'google-cloud-pubsublite', 'google-cloud-interconnect', 'nativescript-firebase', 'firebase-authentication', 'google-cloud-datalab', 'google-cloud-automl-nl', 'google-cloud-load-balancer', 'google-cloud-networking', 'firebase-machine-learning', 'firebase', 'firebase-polymer', 'jib', 'google-cloud-trace', 'google-cloud-monitoring', 'google-cloud-ops-agent', 'google-cloud-save', 'google-analytics-firebase', 'google-cloud-api-gateway', 'google-cloud-talent-solution', 'firebase-cloud-functions', 'google-cloud-dataproc-metastore', 'google-cloud-profiler', 'google-cloud-run', 'google-cloud-webrisk', 'google-prediction', 'firebase-remote-config', 'google-compute-engine', 'google-fusion-tables', 'google-cloud-cpp', 'google-cloud-scheduler', 'google-cloud-identity-aware-proxy', 'google-app-engine', 'firebase-in-app-messaging', 'google-kubernetes-engine', 'google-cloud-stackdriver', 'google-cloud-shell', 'firebase-analytics', 'google-cloud-ai-platform-pipelines', 'google-cloud-memorystore', 'google-cloud-storage', 'firebase-console', 'google-cloud-internal-load-balancer', 'google-translate', 'google-cloud-search', 'bigtable', 'google-cloud-debugger'], 'external_links': [{'type': 'website', 'link': 'https://cloud.google.com/developers'}, {'type': 'support', 'link': 'https://googlecloud-community.slack.com/'}, {'type': 'twitter', 'link': 'https://twitter.com/googlecloudtech'}, {'type': 'facebook', 'link': 'https://facebook.com/googlecloud'}, {'type': 'instagram', 'link': 'https://instagram.com/googlecloud'}], 'description': 'Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions to help them solve their most critical business problems.', 'link': '/collectives/google-cloud', 'name': 'Google Cloud', 'slug': 'google-cloud'}]"
True,False,False,133972,dataframe,
False,False,False,131779,spring-boot,
True,False,False,126221,azure,
True,False,False,125997,react-native,
False,False,False,124247,eclipse,
False,False,False,123887,docker,
True,False,False,117318,algorithm,
True,False,False,114056,macos,
True,False,False,111938,forms,
True,False,False,111755,visual-studio,
True,False,False,111732,image,
False,False,False,110362,scala,
True,False,False,109069,powershell,
False,False,False,108124,numpy,
True,False,False,107350,function,
True,False,False,105574,api,
True,False,False,102740,twitter-bootstrap,
False,False,False,101902,selenium,
True,False,False,100046,vue.js,
True,False,False,99257,performance,
True,False,False,96937,winforms,
False,False,False,95322,python-2.7,
True,False,False,93877,matlab,
True,False,False,93372,loops,
True,False,False,92895,sqlite,
False,False,False,92618,hibernate,
True,False,False,91765,apache,
True,False,False,90903,rest,
True,False,False,90369,entity-framework,
True,False,False,90358,express,
True,False,False,89969,shell,
True,False,False,88307,android-studio,
True,False,False,87564,csv,
True,False,False,85757,facebook,
True,False,False,85543,maven,
True,False,False,85145,linq,
False,False,False,84025,qt,
True,False,False,82791,unit-testing,
False,False,False,82327,kotlin,
False,False,False,81423,dart,
True,False,False,80709,swing,
True,False,False,80094,tensorflow,
True,False,False,79913,file,
True,False,False,78422,apache-spark,
True,False,False,77940,class,
True,False,False,74699,sorting,
True,False,False,74617,date,
True,False,False,74613,dictionary,
True,False,False,74345,asp.net-core,
True,False,False,72818,authentication,
True,False,False,72351,symfony,
True,False,False,72342,.htaccess,
True,False,False,71624,tsql,
True,False,False,71051,unity3d,
True,False,False,70788,google-chrome,
True,False,False,69989,opencv,
True,False,False,69359,for-loop,
True,False,False,69338,codeigniter,
True,False,False,68759,matplotlib,
True,False,False,68440,datetime,
True,False,False,67332,perl,
False,False,False,66479,http,
True,False,False,66249,go,
True,False,False,65986,validation,
True,False,False,65598,sockets,
True,False,False,65508,google-maps,
True,False,False,63954,uitableview,
True,False,False,63601,object,
True,False,False,61505,cordova,
False,False,False,60868,xaml,
True,False,False,60732,oop,
True,False,False,60274,web-services,
True,False,False,59988,if-statement,
True,False,False,59156,ubuntu,
True,False,False,58926,android-layout,
True,False,False,58564,email,
True,False,False,57628,spring-mvc,
True,False,False,56403,ms-access,
True,False,False,56355,parsing,
True,False,False,56327,elasticsearch,
True,False,False,56131,ruby-on-rails-3,
True,False,False,56069,c++11,
True,False,False,55459,user-interface,
True,False,False,55370,security,
True,False,False,55120,pointers,
True,False,False,53867,sql-server-2008,
False,False,False,53616,github,
True,False,False,53375,templates,
True,False,False,52957,variables,
True,False,False,52927,batch-file,
False,False,False,52752,nginx,
True,False,False,52673,kubernetes,
False,False,False,52578,machine-learning,
False,False,False,52341,jsp,
False,False,False,52306,listview,
True,False,False,52306,flask,
True,False,False,51038,visual-studio-code,
True,False,False,50905,ggplot2,
True,False,False,50791,wcf,
True,False,False,50679,debugging,
True,False,False,50366,delphi,
True,False,False,50134,jpa,
False,False,False,50068,haskell,
False,False,False,49786,xamarin,
True,False,False,49756,ssl,
True,False,False,49733,google-apps-script,
False,False,False,49609,pdf,
True,False,False,49579,asynchronous,
True,False,False,49235,selenium-webdriver,
False,False,False,49229,jenkins,
False,False,False,48917,gradle,
False,False,False,48804,tkinter,
True,False,False,48393,google-sheets,
True,False,False,48192,testing,
True,False,False,47845,amazon-s3,
True,False,False,47732,ionic-framework,
True,False,False,47692,generics,
True,False,False,47058,npm,
True,False,False,47053,unix,
True,False,False,46887,visual-studio-2010,
